discoveryToolsMain.knownToolDetail.dynamicSwot.process.decisionSituationsCards.1.accent	"sky"	"sky"
discoveryToolsMain.knownToolDetail.dynamicSwot.process.decisionSituationsCards.2.accent	"amber"	"amber"
discoveryToolsMain.knownToolDetail.dynamicSwot.process.decisionSituationsCards.3.accent	"rose"	"rose"
discoveryToolsMain.knownToolDetail.growthPaths.process.steps.0.title	"Mission"	"Mission"
discoveryToolsMain.knownToolDetail.growthPaths.process.steps.1.title	"Input"	"Input"
discoveryToolsMain.knownToolDetail.growthPaths.process.steps.2.title	"Options"	"Options"
discoveryToolsMain.knownToolDetail.growthPaths.process.steps.3.title	"Insights"	"Insights"
discoveryToolsMain.knownToolDetail.growthPaths.process.steps.4.title	"Outputs"	"Outputs"
discoveryToolsMain.knownToolPreviewV3.categoryDigital	"Digital"	"Digital"
discoveryToolsMain.knownToolPreviewV3.snippets.dynamic-swot.duration	"60-90 min"	"60-90 min"
discoveryToolsMain.knownToolPreviewV3.snippets.growth-paths.duration	"60-90 min"	"60-90 min"
discoveryToolsMain.knownToolPreviewV3.snippets.market-forces.duration	"60-90 min"	"60-90 min"
discoveryToolsMain.knownToolPreviewV3.snippets.portfolio-priority.duration	"60-90 min"	"60-90 min"
discoveryToolsMain.knownToolPreviewV3.snippets.risk-uncertainty.duration	"60-90 min"	"60-90 min"
discoveryToolsMain.narrativeEngineLibraryGraphic.legend.0.0	"high"	"high"
discoveryToolsMain.narrativeEngineLibraryGraphic.legend.1.0	"medium"	"medium"
discoveryToolsMain.narrativeEngineLibraryGraphic.legend.2.0	"low"	"low"
discoveryToolsMain.narrativeEngineLibraryGraphic.pillars.0.resonance	"high"	"high"
discoveryToolsMain.narrativeEngineLibraryGraphic.pillars.1.resonance	"high"	"high"
discoveryToolsMain.narrativeEngineLibraryGraphic.pillars.2.resonance	"medium"	"medium"
discoveryToolsMain.narrativeEngineLibraryGraphic.pillars.2.title	"Talent"	"Talent"
discoveryToolsMain.narrativeEngineLibraryGraphic.pillars.3.resonance	"low"	"low"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.0.0	"Brief"	"Brief"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.0.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.1.2	"bg-sky-500"	"bg-sky-500"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.2.2	"bg-blue-500"	"bg-blue-500"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.3.2	"bg-amber-500"	"bg-amber-500"
discoveryToolsMain.narrativeEngineLibraryGraphic.stages.4.2	"bg-emerald-500"	"bg-emerald-500"
discoveryToolsMain.portfolioPriorityLibraryGraphic.quadrants.0.0	"Stars"	"Stars"
discoveryToolsMain.portfolioPriorityLibraryGraphic.quadrants.3.0	"Dogs"	"Dogs"
discoveryToolsMain.riskUncertaintyLibraryGraphic.cards.0.0	"Assumptions"	"Assumptions"
discoveryToolsMain.riskUncertaintyLibraryGraphic.cards.1.0	"Risks"	"Risks"
discoveryToolsMain.riskUncertaintyLibraryGraphic.cards.2.0	"Scenarios"	"Scenarios"
discoveryToolsMain.riskUncertaintyLibraryGraphic.cards.3.0	"Moves"	"Moves"
discoveryToolsMain.toolDocumentView.methodology	"Methodology"	"Methodology"
discoveryToolsMain.toolDocumentView.review	"Review"	"Review"
discoveryToolsMain.toolReviewPanel.reviewTitle	"Review"	"Review"
discoveryToolsMain.valueChainLibraryGraphic.legend.0.0	"creator"	"creator"
discoveryToolsMain.valueChainLibraryGraphic.legend.1.0	"neutral"	"neutral"
