tabela,typ_kolumny,wierszy_legacy_dbr77,wierszy_kanoniczna_a3e05d4a
"financial_statement_ingest_runs","text","0","44"
"initiative_status_history","text","0","44"
"initiative_handoffs","text","0","40"
"ai_security_audit_log","text","0","38"
"finance_analysis_kpi_values","text","0","36"
"initiative_kpis","text","0","27"
"kpi_definition_versions","text","0","27"
"rollout_kpis","text","0","27"
"v8_kpi_definitions","text","0","27"
"financial_statement_repair_sessions","text","0","26"
"initiative_kpi_mappings","text","0","23"
"interview_insight_activity","text","0","22"
"research_sessions","text","0","22"
"notebook_ai_proposals","text","0","19"
"ai_audit_logs","text","0","18"
"artifact_lifecycle_events","text","0","18"
"finance_artifacts","text","0","18"
"finance_business_versions","text","0","18"
"finance_working_revisions","text","0","18"
"interview_insights","text","0","18"
"digitization_analyses","text","0","17"
"finance_periods","text","0","17"
"financial_models","text","0","17"
"initiative_wizard_candidates","text","0","17"
"financial_statement_upload_idempotency","text","0","16"
"initiative_wizard_audit_events","text","0","16"
"teresa_handoff_results","text","0","16"
"valuations","text","0","16"
"finance_statement_confirmation_receipts","text","0","15"
"finance_artifact_aliases","text","0","13"
"rvn_roi_assumptions","text","0","13"
"wave7_connectors","text","0","13"
"kpi_time_series","text","0","12"
"research_evidence_graph","text","0","12"
"research_report_artifacts","text","0","12"
"feature_flags","text","0","11"
"method_events","text","0","11"
"wave6_memory_candidates","text","0","11"
"document_share_link_audit","text","0","10"
"interview_report_packs","text","0","10"
"my_idea_map_snapshots","text","0","10"
"v8_kpi_finance_reconciliations","text","0","10"
"ai_doc_usage_log","text","0","9"
"audit_domain_events","text","0","9"
"audit_program_criteria","text","0","9"
"deliverable_bundles","text","0","9"
"financial_statement_packs","text","0","9"
"ai_deep_thinking_confirms","text","0","8"
"report_agent_messages","text","0","8"
"roi_assumptions","text","0","8"
"v8_roi_realization_entries","text","0","8"
"ai_typed_actions","text","0","7"
"kpi_scorecards","text","0","7"
"rvn_roi_benefit_lines","text","0","7"
"rvn_roi_scenarios","text","0","7"
"budget_initiative_links","text","0","6"
"chat_projects","text","0","6"
"finance_statement_pack_archive_command_receipts","text","0","6"
"financial_analyses","text","0","6"
"financial_model_baseline_audit","text","0","6"
"financial_model_idempotency","text","0","6"
"ie_governance_role_bindings","text","0","6"
"initiative_benefits","text","0","6"
"method_session_role_events","text","0","6"
"method_session_roles","text","0","6"
"report_builder_reports","text","0","6"
"report_quality_gates","text","0","6"
"rvn_roi_cost_lines","text","0","6"
"wave8_agent_notifications","text","0","6"
"wave8_agent_runs","text","0","6"
"document_share_links","text","0","5"
"framework_entitlements","text","0","5"
"idea_node_comments","text","0","5"
"initiative_candidates","text","0","5"
"initiative_wizard_sessions","text","0","5"
"interview_templates","text","0","5"
"method_session_create_idempotency","text","0","5"
"method_sessions","text","0","5"
"my_idea_conversions","text","0","5"
"wave6_memory_stewardship_decisions","text","0","5"
"ai_deep_thinking_metrics","text","0","4"
"artifact_conversion_events","text","0","4"
"artifact_conversions","text","0","4"
"deck_comments","text","0","4"
"finance_comments","text","0","4"
"finance_review_checklists","text","0","4"
"finance_stmt_periods","text","0","4"
"idea_workspace_node_locks","text","0","4"
"method_teresa_previews","text","0","4"
"okr_key_results","text","0","4"
"wave9_evidence_registry","text","0","4"
"benefits_register","text","0","3"
"budgets","text","0","3"
"change_champions","text","0","3"
"change_sentiment_snapshots","text","0","3"
"decision_alternatives","text","0","3"
"finance_valuation_cases","text","0","3"
"integration_connection_events","text","0","3"
"legacy_cutover_signal_intents","text","0","3"
"legacy_cutover_usage_events","text","0","3"
"module_access_grants","text","0","3"
"notebook_topics","text","0","3"
"notebooks","text","0","3"
"okr_objectives","text","0","3"
"roi_realized_values","text","0","3"
"rvn_roi_calculation_policy","text","0","3"
"rvn_roi_calculation_runs","text","0","3"
"wave5_mutation_proposals","text","0","3"
"ai_partial_responses","text","0","2"
"artifact_lineage_pending_events","text","0","2"
"audit_program_members","text","0","2"
"compute_job_outputs","text","0","2"
"compute_jobs","text","0","2"
"document_comments","text","0","2"
"finance_lineage_edges","text","0","2"
"finance_saved_views","text","0","2"
"finance_valuation_variants","text","0","2"
"financial_budget_versions","text","0","2"
"integration_audit_log","text","0","2"
"integration_ownership","text","0","2"
"my_idea_folders","text","0","2"
"tool_facilitation_sessions","text","0","2"
"v8_finance_document_ingestions","text","0","2"
"z139_backup_919_tasks","text","0","2"
"_v8_flag_backup_20260710","text","0","1"
"access_requests","text","0","1"
"ai_operator_interventions","text","0","1"
"ai_org_memory","text","0","1"
"assessment_reports","text","0","1"
"audit_norm_sources","text","0","1"
"audit_outputs","text","0","1"
"audit_packs","text","0","1"
"audit_programs","text","0","1"
"audit_reports","text","0","1"
"billing_alerts","text","0","1"
"canvas_idea_materialization_receipts","text","0","1"
"case_core","text","0","1"
"cutover_runbooks","text","0","1"
"cutover_steps","text","0","1"
"decision_enhancements","text","0","1"
"document_approvals","text","0","1"
"executive_aggregate_cache","text","0","1"
"executive_insights_cache","text","0","1"
"finance_analysis_definitions","text","0","1"
"finance_stmt_calendars","text","0","1"
"finance_stmt_entities","text","0","1"
"finance_valuation_registration_command_receipts","text","0","1"
"idea_business_cases","text","0","1"
"idea_financial_cases","text","0","1"
"ie_governance_policies","text","0","1"
"initiative_feature_flags","text","0","1"
"interview_answer_history","text","0","1"
"interview_insight_exports","text","0","1"
"interview_transcript_messages","text","0","1"
"kpi_financial_mappings","text","0","1"
"method_approvals","text","0","1"
"method_outputs","text","0","1"
"method_packs","text","0","1"
"method_report_snapshots","text","0","1"
"method_snapshots","text","0","1"
"my_work_signal_prefs","text","0","1"
"notebook_page_versions","text","0","1"
"org_policies","text","0","1"
"organization_brand_voice_profiles","text","0","1"
"organization_context_processing_jobs","text","0","1"
"organization_context_storage_events","text","0","1"
"organization_context_store","text","0","1"
"organization_seats","text","0","1"
"organization_style_profiles","text","0","1"
"partner_connection_receipts","text","0","1"
"payment_methods","text","0","1"
"plan_baselines","text","0","1"
"rollout_stages","text","0","1"
"rvn_platform_events","text","0","1"
"rvn_platform_projection_checkpoints","text","0","1"
"rvn_roi_visibility_governance","text","0","1"
"scim_tokens","text","0","1"
"usage_counters","text","0","1"
"usage_records","text","0","1"
"user_radar_profiles","text","0","1"
"v8_cloud_linked_source_refreshes","text","0","1"
"v8_deviation_records","text","0","1"
"v8_executive_review_packs","text","0","1"
"v8_initiative_economics_linkages","text","0","1"
"v8_promotion_gates","text","0","1"
"v8_radar_triage_signals","text","0","1"
"v8_unreconciled_delta_escalations","text","0","1"
"vault_folders","text","0","1"
"watchlist_items","text","0","1"
"wave7_connector_runs","text","0","1"
"wave9_acceptance_runs","text","0","1"
"wave9_eval_runs","text","0","1"
"wave9_incidents","text","0","1"
"wave9_outcomes","text","0","1"
"wave9_provider_health","text","0","1"
"z139_backup_919_decisions","text","0","1"
