public	budget_initiative_links	public	initiatives	initiative_id,organization_id	id,organization_id	NO ACTION
public	budget_line_items	public	initiative_budgets	budget_id	id	CASCADE
public	budget_lines	public	budgets	budget_id	id	CASCADE
public	budget_overspend_signals	public	organizations	organization_id	id	CASCADE
public	budget_scenarios	public	budgets	budget_id	id	CASCADE
public	budget_snapshots	public	budgets	budget_id	id	CASCADE
public	budget_thresholds	public	organizations	organization_id	id	CASCADE
public	budget_transactions	public	budget_line_items	line_item_id	id	SET NULL
public	budget_transactions	public	initiative_budgets	budget_id	id	CASCADE
public	budgets	public	organizations	organization_id	id	CASCADE
public	budgets	public	projects	project_id	id	SET NULL
public	budgets	public	tool_sessions	source_tool_session_id	id	NO ACTION
public	business_metric_values	public	business_metrics	metric_id	id	CASCADE
public	business_metrics	public	users	created_by	id	SET NULL
public	calendar_feed_log	public	organizations	organization_id	id	CASCADE
public	candidate_competency_signals	public	candidate_documents	document_id	id	CASCADE
public	candidate_competency_signals	public	candidate_profiles	candidate_id	id	CASCADE
public	candidate_documents	public	candidate_profiles	candidate_id	id	CASCADE
public	candidate_match_results	public	candidate_profiles	candidate_id	id	CASCADE
public	capabilities	public	competency_categories	category_id	id	SET NULL
public	capability_requirements	public	capabilities	capability_id	id	CASCADE
public	case_core	public	organizations	organization_id	id	NO ACTION
public	case_core	public	projects	project_id	id	CASCADE
public	case_core	public	users	sponsor_user_id	id	SET NULL
public	case_plan_versions	public	case_core	case_id	case_id	CASCADE
public	case_plan_versions	public	case_plan_versions	supersedes_plan_version_id	case_plan_version_id	NO ACTION
public	case_plan_view_state	public	case_plan_versions	case_plan_version_id	case_plan_version_id	CASCADE
public	case_workspace_action_proposal_decisions	public	case_workspace_action_proposals	action_proposal_id	action_proposal_id	CASCADE
public	case_workspace_action_proposals	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_action_proposals	public	case_plan_versions	case_plan_version_id	case_plan_version_id	NO ACTION
public	case_workspace_action_proposals	public	case_workspace_action_proposals	supersedes_action_proposal_id	action_proposal_id	NO ACTION
public	case_workspace_action_proposals	public	case_workspace_capabilities	capability_registry_id	capability_registry_id	NO ACTION
public	case_workspace_action_proposals	public	v8_execution_runs	run_id	run_id	NO ACTION
public	case_workspace_artifact_links	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_capability_idempotency_keys	public	case_workspace_capabilities	capability_registry_id	capability_registry_id	CASCADE
public	case_workspace_feature_flag_definitions	public	case_workspace_feature_flag_definitions	parent_flag_key	flag_key	NO ACTION
public	case_workspace_feature_flags	public	case_workspace_feature_flag_definitions	flag_key	flag_key	NO ACTION
public	case_workspace_gateway_evaluations	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_gateway_evaluations	public	case_workspace_run_bindings	run_id	run_id	NO ACTION
public	case_workspace_node_result_acceptances	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_node_result_acceptances	public	case_workspace_gateway_evaluations	caused_by_gateway_node_run_id	node_run_id	NO ACTION
public	case_workspace_node_result_acceptances	public	case_workspace_run_bindings	run_id	run_id	NO ACTION
public	case_workspace_node_run_attempts	public	case_workspace_capabilities	capability_registry_id	capability_registry_id	NO ACTION
public	case_workspace_node_run_attempts	public	case_workspace_node_runs	node_run_id	node_run_id	NO ACTION
public	case_workspace_node_runs	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_node_runs	public	case_workspace_action_proposals	action_proposal_id	action_proposal_id	NO ACTION
public	case_workspace_node_runs	public	case_workspace_run_bindings	run_id	run_id	NO ACTION
public	case_workspace_node_runs	public	case_workspace_waits	wait_id	wait_id	NO ACTION
public	case_workspace_run_bindings	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_run_bindings	public	case_plan_versions	case_plan_version_id	case_plan_version_id	NO ACTION
public	case_workspace_run_bindings	public	v8_execution_runs	run_id	run_id	NO ACTION
public	case_workspace_runs	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_runs	public	case_plan_versions	case_plan_version_id	case_plan_version_id	NO ACTION
public	case_workspace_runs	public	case_workspace_run_bindings	run_id	run_id	NO ACTION
public	case_workspace_value_measurements	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_waits	public	case_core	case_id	case_id	NO ACTION
public	case_workspace_waits	public	case_workspace_action_proposals	action_proposal_id	action_proposal_id	NO ACTION
public	case_workspace_waits	public	case_workspace_run_bindings	run_id	run_id	NO ACTION
public	chat_handoff_owner_claims	public	artifact_handoff_receipts	handoff_receipt_id	receipt_id	RESTRICT
